"MacroTrends Data Download"
"NFLX - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2002-05-23,1.1564,1.2429,1.1457,1.1964,104790000
2002-05-24,1.2143,1.2250,1.1971,1.2100,11104800
2002-05-28,1.2136,1.2321,1.1571,1.1571,6609400
2002-05-29,1.1643,1.1643,1.0857,1.1036,6757800
2002-05-30,1.1079,1.1079,1.0714,1.0714,10154200
2002-05-31,1.0786,1.0786,1.0714,1.0764,8464400
2002-06-03,1.0800,1.1493,1.0764,1.1286,3151400
2002-06-04,1.1357,1.1400,1.1107,1.1179,3105200
2002-06-05,1.1107,1.1593,1.1071,1.1471,1531600
2002-06-06,1.1500,1.2321,1.1486,1.1821,2305800
2002-06-07,1.1779,1.1779,1.1036,1.1186,1369200
2002-06-10,1.1350,1.1750,1.1350,1.1564,484400
2002-06-11,1.1564,1.1886,1.1286,1.1536,1003800
2002-06-12,1.1536,1.1821,1.0893,1.0929,1799000
2002-06-13,1.1043,1.1221,1.0800,1.0829,2567600
2002-06-14,1.0821,1.0857,0.9800,0.9864,4783800
2002-06-17,1.0136,1.0593,0.9179,0.9221,4855200
2002-06-18,0.9386,0.9393,0.8421,0.9107,10808000
2002-06-19,0.9114,0.9964,0.8929,0.9514,5482400
2002-06-20,0.9714,1.0400,0.9500,0.9571,6111000
2002-06-21,0.9821,0.9893,0.9479,0.9793,2346400
2002-06-24,0.9793,1.0143,0.9571,0.9786,2567600
2002-06-25,0.9886,1.0071,0.9471,0.9643,3941000
2002-06-26,0.9636,0.9964,0.9214,0.9886,2924600
2002-06-27,1.0093,1.0186,0.9436,0.9436,3817800
2002-06-28,0.9607,1.0136,0.9607,0.9993,9234400
2002-07-01,1.0000,1.0464,0.9929,1.0279,4585000
2002-07-02,1.0536,1.1957,1.0393,1.1729,9020200
2002-07-03,1.1786,1.2143,1.1179,1.2143,4957400
2002-07-05,1.2143,1.2993,1.2136,1.2764,2003400
2002-07-08,1.2521,1.2521,1.1679,1.1757,1953000
2002-07-09,1.1750,1.1964,1.1143,1.1607,2935800
2002-07-10,1.1614,1.1786,1.1321,1.1636,1554000
2002-07-11,1.1543,1.2786,1.1329,1.2693,2529800
2002-07-12,1.2786,1.2800,1.2071,1.2079,2837800
2002-07-15,1.2429,1.2486,1.0764,1.1429,4239200
2002-07-16,1.1529,1.1571,1.1043,1.1264,1941800
2002-07-17,1.1450,1.1636,1.0757,1.0893,1261400
2002-07-18,1.1171,1.1664,1.1107,1.1493,2899400
2002-07-19,1.1529,1.1607,1.1221,1.1600,1792000
2002-07-22,1.1357,1.1793,1.1157,1.1707,1993600
2002-07-23,1.1764,1.2136,1.1307,1.1464,1577800
2002-07-24,1.1464,1.1593,1.0743,1.1143,3355800
2002-07-25,1.1250,1.1279,1.0350,1.0364,4755800
2002-07-26,1.0500,1.0586,0.8500,0.8714,7046200
2002-07-29,0.8964,0.9243,0.8500,0.8764,3260600
2002-07-30,0.8936,0.9429,0.8936,0.9143,3777200
2002-07-31,0.9286,0.9600,0.9057,0.9536,3333400
2002-08-01,0.9500,0.9600,0.8779,0.8914,4529000
2002-08-02,0.8864,0.8879,0.7064,0.7779,6655600
2002-08-05,0.7786,0.8129,0.7607,0.7750,3808000
2002-08-06,0.7957,0.8036,0.7429,0.7607,3217200
2002-08-07,0.7607,0.7936,0.7429,0.7936,2758000
2002-08-08,0.7964,0.8036,0.7507,0.7964,2283400
2002-08-09,0.7986,0.8214,0.7786,0.7871,1500800
2002-08-12,0.8029,0.8071,0.7536,0.7571,2130800
2002-08-13,0.7679,0.8050,0.7543,0.7729,1677200
2002-08-14,0.7757,0.8336,0.7714,0.8336,4047400
2002-08-15,0.8371,0.9107,0.8329,0.8829,3263400
2002-08-16,0.8929,0.9243,0.8571,0.9129,1828400
2002-08-19,0.9250,0.9843,0.9179,0.9821,2074800
2002-08-20,0.9850,0.9936,0.9214,0.9464,2539600
2002-08-21,0.9536,0.9714,0.9186,0.9686,2779000
2002-08-22,0.9736,0.9993,0.9293,0.9836,2963800
2002-08-23,0.9943,0.9964,0.9679,0.9936,2406600
2002-08-26,0.9964,0.9964,0.9379,0.9679,2644600
2002-08-27,0.9679,0.9679,0.8579,0.8736,4984000
2002-08-28,0.8614,0.8900,0.8250,0.8643,2275000
2002-08-29,0.8329,0.9221,0.8243,0.9036,2395400
2002-08-30,0.9143,0.9629,0.8943,0.9364,2121000
2002-09-03,0.9364,0.9636,0.9136,0.9257,1593200
2002-09-04,0.9257,0.9464,0.9079,0.9286,373800
2002-09-05,0.9179,0.9357,0.9107,0.9179,285600
2002-09-06,0.9279,0.9357,0.9107,0.9143,763000
2002-09-09,0.9193,0.9250,0.8929,0.9014,1419600
2002-09-10,0.9007,0.9500,0.8893,0.9450,4746000
2002-09-11,0.9386,0.9764,0.9386,0.9614,1629600
2002-09-12,0.9629,0.9671,0.9143,0.9250,1943200
2002-09-13,0.9214,0.9271,0.8643,0.8786,2485000
2002-09-16,0.8921,0.8921,0.8529,0.8571,3512600
2002-09-17,0.8643,0.8643,0.8250,0.8557,2863000
2002-09-18,0.8364,0.8414,0.7850,0.7879,1521800
2002-09-19,0.7850,0.7857,0.7179,0.7243,4978400
2002-09-20,0.7536,0.7679,0.7000,0.7085,3484600
2002-09-23,0.7143,0.7321,0.7058,0.7115,4839800
2002-09-24,0.7114,0.7250,0.6893,0.7179,3747800
2002-09-25,0.7250,0.7500,0.7079,0.7321,1457400
2002-09-26,0.7486,0.7836,0.7286,0.7836,4162200
2002-09-27,0.7764,0.7843,0.7123,0.7200,5105800
2002-09-30,0.7071,0.7214,0.6893,0.6929,4837000
2002-10-01,0.7093,0.7100,0.6607,0.6786,3850000
2002-10-02,0.6886,0.6886,0.5607,0.5786,9314200
2002-10-03,0.5693,0.5700,0.4893,0.5179,9765000
2002-10-04,0.5179,0.5314,0.4471,0.4688,8433600
2002-10-07,0.4500,0.4586,0.3821,0.4121,15724800
2002-10-08,0.4107,0.4279,0.3907,0.4050,4531800
2002-10-09,0.4100,0.4107,0.3471,0.3729,5982200
2002-10-10,0.3779,0.5250,0.3464,0.5064,13577200
2002-10-11,0.5086,0.5286,0.4464,0.4707,13281800
2002-10-14,0.4643,0.5350,0.4636,0.5343,5272400
2002-10-15,0.5429,0.5857,0.5421,0.5500,4125800
2002-10-16,0.5293,0.5329,0.4429,0.4593,5800200
2002-10-17,0.4721,0.5857,0.4714,0.5500,7481600
2002-10-18,0.5857,0.7357,0.5857,0.6829,24904600
2002-10-21,0.6386,0.6643,0.6086,0.6364,9686600
2002-10-22,0.6357,0.6436,0.6179,0.6256,4263000
2002-10-23,0.6250,0.6250,0.5857,0.5893,3539200
2002-10-24,0.6064,0.6064,0.5536,0.5793,2431800
2002-10-25,0.5800,0.6850,0.5679,0.6429,6447000
2002-10-28,0.6643,0.7071,0.6500,0.6857,5647600
2002-10-29,0.6750,0.6786,0.6329,0.6571,2004800
2002-10-30,0.6636,0.6657,0.6357,0.6414,1423800
2002-10-31,0.6364,0.6429,0.6236,0.6408,1659000
2002-11-01,0.6286,0.6429,0.6071,0.6386,2126600
2002-11-04,0.6429,0.7029,0.6393,0.6714,3589600
2002-11-05,0.6721,0.6764,0.6507,0.6514,1045800
2002-11-06,0.6643,0.6643,0.6129,0.6293,7032200
2002-11-07,0.6321,0.6379,0.5929,0.5929,2585800
2002-11-08,0.6050,0.6129,0.5536,0.6107,4922400
2002-11-11,0.6071,0.6071,0.5857,0.6007,371000
2002-11-12,0.6000,0.6143,0.5721,0.5779,2191000
2002-11-13,0.5793,0.6429,0.5557,0.6414,3231200
2002-11-14,0.6429,0.6450,0.6186,0.6186,931000
2002-11-15,0.6421,0.6536,0.5893,0.6500,2045400
2002-11-18,0.6486,0.7807,0.6250,0.7786,10061800
2002-11-19,0.7200,0.7207,0.6236,0.6643,28194600
2002-11-20,0.6743,0.7279,0.6607,0.7171,10085600
2002-11-21,0.7286,0.7857,0.7179,0.7857,10516800
2002-11-22,0.7571,0.8000,0.7521,0.7864,4492600
2002-11-25,0.7929,0.7964,0.7536,0.7929,4771200
2002-11-26,0.7714,0.7857,0.7486,0.7493,1771000
2002-11-27,0.7614,0.7657,0.7436,0.7514,1069600
2002-11-29,0.7500,0.7950,0.7429,0.7750,932400
2002-12-02,0.7429,0.7964,0.7243,0.7614,2009000
2002-12-03,0.7500,0.7893,0.7393,0.7707,1164800
2002-12-04,0.7429,0.7500,0.6964,0.7106,2468200
