"MacroTrends Data Download"
"TCS - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2013-11-01,525.0000,555.0000,481.5000,543.0000,977840
2013-11-04,552.0000,552.0000,520.3500,530.2500,105773
2013-11-05,526.6500,532.5000,522.3000,530.2500,22513
2013-11-06,534.1500,547.3500,534.1500,538.5000,36640
2013-11-07,552.0000,552.0000,511.8000,529.6500,58913
2013-11-08,529.5000,531.9000,520.9500,524.2500,32553
2013-11-11,530.2500,530.2500,508.8000,513.6000,28700
2013-11-12,518.1000,518.1000,506.2500,509.8500,22093
2013-11-13,502.5000,517.5000,495.7500,512.2500,27967
2013-11-14,512.2500,513.7500,503.1000,504.7500,39087
2013-11-15,506.2500,507.7500,499.9500,503.2500,61613
2013-11-18,521.2500,574.8000,514.2000,564.6000,44640
2013-11-19,566.7000,571.9500,524.2500,527.4000,54353
2013-11-20,539.7000,539.7000,506.2500,512.1000,27840
2013-11-21,524.2500,529.5000,514.2000,527.8500,26293
2013-11-22,534.0000,564.0000,529.0500,560.4000,28987
2013-11-25,575.8500,585.0000,568.5000,573.0000,4013
2013-11-26,586.5000,604.5000,580.6500,600.9000,52647
2013-11-27,617.1000,622.5000,605.2500,607.2000,27573
2013-11-29,620.1000,625.5000,607.5000,610.3500,11327
2013-12-02,624.0000,652.8000,619.2000,646.3500,30567
2013-12-03,652.5000,655.3500,633.3000,646.9500,23693
2013-12-04,657.4500,667.6500,622.2000,627.3000,35340
2013-12-05,633.6000,651.9000,626.2500,648.0000,21707
2013-12-06,667.3500,670.5000,634.6500,637.5000,22960
2013-12-09,643.3500,648.1500,619.5000,624.7500,18120
2013-12-10,624.6000,630.0000,592.2000,594.7500,38227
2013-12-11,591.7500,591.7500,564.3000,574.2000,36733
2013-12-12,570.0000,583.2000,567.7500,581.1000,25300
2013-12-13,581.2500,593.5500,581.2500,590.4000,27927
2013-12-16,600.1500,620.4000,592.9500,617.4000,39153
