date,open,high,low,close,volume
1980-12-12,0.0992,0.0996,0.0992,0.0992,469033600
1980-12-15,0.0945,0.0945,0.094,0.094,175884800
1980-12-16,0.0875,0.0875,0.0871,0.0871,105728000
1980-12-17,0.0893,0.0897,0.0893,0.0893,86441600
1980-12-18,0.0919,0.0923,0.0919,0.0919,73449600
1980-12-19,0.0975,0.0979,0.0975,0.0975,48630400
1980-12-22,0.1022,0.1026,0.1022,0.1022,37363200
1980-12-23,0.1065,0.107,0.1065,0.1065,46950400
1980-12-24,0.1121,0.1126,0.1121,0.1121,48003200
1980-12-26,0.1225,0.1229,0.1225,0.1225,55574400
1980-12-29,0.1242,0.1247,0.1242,0.1242,93161600
1980-12-30,0.1216,0.1216,0.1212,0.1212,68880000
1980-12-31,0.1182,0.1182,0.1178,0.1178,35750400
1981-01-02,0.119,0.1199,0.119,0.119,21660800
1981-01-05,0.1169,0.1169,0.1164,0.1164,35728000
1981-01-06,0.1117,0.1117,0.1113,0.1113,45158400
1981-01-07,0.107,0.107,0.1065,0.1065,55686400
1981-01-08,0.1048,0.1048,0.1044,0.1044,39827200
1981-01-09,0.11,0.1104,0.11,0.11,21504000
1981-01-12,0.11,0.11,0.1091,0.1091,23699200
1981-01-13,0.1057,0.1057,0.1052,0.1052,23049600
1981-01-14,0.1057,0.1061,0.1057,0.1057,14291200
1981-01-15,0.1078,0.1087,0.1078,0.1078,14067200
1981-01-16,0.1074,0.1074,0.107,0.107,13395200
1981-01-19,0.1134,0.1139,0.1134,0.1134,41574400
1981-01-20,0.1104,0.1104,0.11,0.11,30083200
1981-01-21,0.1121,0.113,0.1121,0.1121,15904000
1981-01-22,0.1134,0.1143,0.1134,0.1134,35548800
1981-01-23,0.1134,0.1139,0.113,0.113,11222400
1981-01-26,0.1117,0.1117,0.1113,0.1113,24640000
1981-01-27,0.1113,0.1113,0.1104,0.1104,23699200
1981-01-28,0.1074,0.1074,0.107,0.107,28156800
1981-01-29,0.1035,0.1035,0.1031,0.1031,43904000
1981-01-30,0.0983,0.0983,0.0975,0.0975,46188800
1981-02-02,0.0923,0.0923,0.0919,0.0919,23766400
1981-02-03,0.0953,0.0957,0.0953,0.0953,19152000
1981-02-04,0.0987,0.0992,0.0987,0.0987,27865600
1981-02-05,0.0987,0.0996,0.0987,0.0987,7929600
1981-02-06,0.0992,0.0996,0.0992,0.0992,13865600
1981-02-09,0.0949,0.0949,0.094,0.094,16755200
1981-02-10,0.094,0.0945,0.094,0.094,18345600
1981-02-11,0.0914,0.0914,0.091,0.091,13843200
1981-02-12,0.0906,0.0906,0.0902,0.0902,14560000
1981-02-13,0.0888,0.0888,0.088,0.088,11155200
1981-02-17,0.0902,0.0906,0.0902,0.0902,12275200
1981-02-18,0.094,0.0949,0.094,0.094,19241600
1981-02-19,0.0888,0.0888,0.0884,0.0884,22310400
1981-02-20,0.0841,0.0841,0.0837,0.0837,24371200
1981-02-23,0.0849,0.0854,0.0849,0.0849,14112000
1981-02-24,0.0828,0.0828,0.0819,0.0819,16979200
1981-02-25,0.0871,0.0875,0.0871,0.0871,19488000
1981-02-26,0.0884,0.0888,0.0884,0.0884,10841600
1981-02-27,0.0914,0.0923,0.0914,0.0914,14761600
1981-03-02,0.0919,0.0923,0.0919,0.0919,11760000
1981-03-03,0.091,0.091,0.0906,0.0906,16172800
1981-03-04,0.0902,0.0902,0.0897,0.0897,13708800
1981-03-05,0.0897,0.0897,0.0893,0.0893,5376000
1981-03-06,0.0893,0.0893,0.0884,0.0884,11603200
1981-03-09,0.0819,0.0819,0.0815,0.0815,15321600
1981-03-10,0.0781,0.0781,0.0776,0.0776,28380800
1981-03-11,0.0755,0.0755,0.0746,0.0746,29859200
1981-03-12,0.0776,0.0781,0.0776,0.0776,59248000
1981-03-13,0.0772,0.0772,0.0768,0.0768,231302400
1981-03-16,0.0798,0.0806,0.0798,0.0798,37228800
1981-03-17,0.0837,0.0845,0.0837,0.0837,43747200
1981-03-18,0.0888,0.0897,0.0888,0.0888,36937600
1981-03-19,0.0884,0.0884,0.088,0.088,37811200
1981-03-20,0.0888,0.0897,0.0888,0.0888,14604800
1981-03-23,0.0923,0.0932,0.0923,0.0923,22019200
1981-03-24,0.0923,0.0923,0.0919,0.0919,28156800
1981-03-25,0.091,0.091,0.0902,0.0902,7056000
1981-03-26,0.0888,0.0888,0.0884,0.0884,12275200
1981-03-27,0.0858,0.0858,0.0854,0.0854,12252800
1981-03-30,0.0854,0.0863,0.0854,0.0854,9900800
1981-03-31,0.0854,0.0854,0.0845,0.0845,15993600
1981-04-01,0.0841,0.0841,0.0837,0.0837,34070400
1981-04-02,0.091,0.0914,0.091,0.091,31404800
1981-04-03,0.0914,0.0919,0.0914,0.0914,16486400
1981-04-06,0.0902,0.0902,0.0897,0.0897,22803200
1981-04-07,0.0893,0.0893,0.0888,0.0888,10684800
1981-04-08,0.0932,0.094,0.0932,0.0932,21952000
1981-04-09,0.0949,0.0953,0.0949,0.0949,12499200
1981-04-10,0.0962,0.0966,0.0962,0.0962,33465600
1981-04-13,0.0962,0.0966,0.0962,0.0962,16060800
1981-04-14,0.0962,0.0966,0.0962,0.0962,6652800
1981-04-15,0.0919,0.0919,0.0914,0.0914,34048000
1981-04-16,0.0867,0.0867,0.0863,0.0863,23878400
1981-04-20,0.0888,0.0893,0.0888,0.0888,35347200
1981-04-21,0.0949,0.0953,0.0949,0.0949,28537600
1981-04-22,0.0983,0.0987,0.0983,0.0983,18995200
1981-04-23,0.1009,0.1013,0.1009,0.1009,58016000
1981-04-24,0.1009,0.1009,0.1001,0.1001,35056000
1981-04-27,0.0996,0.0996,0.0992,0.0992,38528000
1981-04-28,0.0979,0.0979,0.0975,0.0975,32188800
1981-04-29,0.0966,0.0966,0.0962,0.0962,13641600
1981-04-30,0.0979,0.0987,0.0979,0.0979,12611200
1981-05-01,0.0979,0.0987,0.0979,0.0979,16553600
1981-05-04,0.0979,0.0979,0.0975,0.0975,14448000
1981-05-05,0.0975,0.0975,0.097,0.097,17539200
1981-05-06,0.0949,0.0949,0.0945,0.0945,18950400
1981-05-07,0.0957,0.0962,0.0957,0.0957,9363200
1981-05-08,0.0966,0.097,0.0966,0.0966,7907200
1981-05-11,0.0949,0.0949,0.0945,0.0945,11939200
1981-05-12,0.0945,0.0957,0.0945,0.0945,4256000
1981-05-13,0.0945,0.0953,0.094,0.094,4905600
1981-05-14,0.0936,0.0936,0.0927,0.0927,4928000
1981-05-15,0.0949,0.0962,0.0949,0.0949,4905600
1981-05-18,0.0966,0.0975,0.0966,0.0966,4166400
1981-05-19,0.0953,0.0953,0.0949,0.0949,25424000
1981-05-20,0.0979,0.0987,0.0979,0.0979,13283200
1981-05-21,0.1035,0.104,0.1035,0.1035,32211200
1981-05-22,0.1083,0.1091,0.1083,0.1083,31427200
1981-05-26,0.1083,0.1083,0.1078,0.1078,85344000
1981-05-27,0.1139,0.1143,0.1139,0.1139,149497600
1981-05-28,0.1139,0.1143,0.1139,0.1139,73987200
1981-05-29,0.1143,0.1147,0.1143,0.1143,59382400
1981-06-01,0.1143,0.1147,0.1143,0.1143,51251200
1981-06-02,0.1091,0.1091,0.1087,0.1087,40432000
1981-06-03,0.1087,0.1095,0.1087,0.1087,39446400
1981-06-04,0.1108,0.1113,0.1108,0.1108,56067200
1981-06-05,0.1095,0.1095,0.1091,0.1091,57680000
1981-06-08,0.1057,0.1057,0.1052,0.1052,93497600
1981-06-09,0.1074,0.1078,0.1074,0.1074,119593600
1981-06-10,0.1087,0.11,0.1087,0.1087,25222400
1981-06-11,0.1134,0.1139,0.1134,0.1134,38976000
1981-06-12,0.1126,0.1126,0.1121,0.1121,25804800
1981-06-15,0.1121,0.1121,0.1117,0.1117,143763200
1981-06-16,0.11,0.11,0.1095,0.1095,37251200
1981-06-17,0.1083,0.1083,0.1078,0.1078,27574400
1981-06-18,0.1078,0.1083,0.1074,0.1074,23049600
1981-06-19,0.1048,0.1048,0.1044,0.1044,27507200
1981-06-22,0.1009,0.1009,0.1005,0.1005,10841600
1981-06-23,0.1022,0.1031,0.1022,0.1022,15030400
1981-06-24,0.1005,0.1005,0.0996,0.0996,23027200
1981-06-25,0.1018,0.1022,0.1018,0.1018,24259200
1981-06-26,0.1013,0.1013,0.1005,0.1005,23788800
1981-06-29,0.0979,0.0979,0.097,0.097,10595200
1981-06-30,0.0902,0.0902,0.0897,0.0897,35907200
1981-07-01,0.0893,0.0893,0.0888,0.0888,170464000
1981-07-02,0.0888,0.0893,0.0888,0.0888,30284800
1981-07-06,0.0867,0.0867,0.0858,0.0858,16531200
1981-07-07,0.0867,0.0875,0.0867,0.0867,15836800
1981-07-08,0.0902,0.0906,0.0902,0.0902,16620800
1981-07-09,0.0837,0.0837,0.0832,0.0832,32883200
1981-07-10,0.0772,0.0772,0.0768,0.0768,55171200
1981-07-13,0.0785,0.0789,0.0785,0.0785,45740800
1981-07-14,0.0819,0.0828,0.0819,0.0819,19779200
1981-07-15,0.0841,0.0845,0.0841,0.0841,10953600
1981-07-16,0.0863,0.0871,0.0863,0.0863,15232000
1981-07-17,0.0893,0.0897,0.0893,0.0893,19824000
1981-07-20,0.0837,0.0837,0.0832,0.0832,23654400
1981-07-21,0.0832,0.0832,0.0828,0.0828,31942400
1981-07-22,0.0789,0.0789,0.0781,0.0781,22668800
1981-07-23,0.0802,0.0806,0.0802,0.0802,34451200
1981-07-24,0.0828,0.0832,0.0828,0.0828,28851200
1981-07-27,0.0863,0.0867,0.0863,0.0863,17337600
1981-07-28,0.0837,0.0837,0.0832,0.0832,22848000
1981-07-29,0.0824,0.0824,0.0819,0.0819,15500800
1981-07-30,0.0849,0.0858,0.0849,0.0849,9900800
1981-07-31,0.0863,0.0867,0.0863,0.0863,10953600
1981-08-03,0.0863,0.0863,0.0854,0.0854,12432000
1981-08-04,0.0867,0.0871,0.0867,0.0867,31673600
1981-08-05,0.0893,0.0897,0.0893,0.0893,17494400
1981-08-06,0.0875,0.0875,0.0871,0.0871,10528000
1981-08-07,0.0871,0.0875,0.0871,0.0871,9206400
1981-08-11,0.0854,0.0854,0.0845,0.0845,71456000
1981-08-12,0.0832,0.0832,0.0828,0.0828,26275200
1981-08-13,0.0806,0.0806,0.0802,0.0802,27484800
1981-08-14,0.0798,0.0798,0.0789,0.0789,24192000
