"MacroTrends Data Download"
"META - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2012-05-18,41.9242,44.8654,37.8863,38.1174,573576400
2012-05-21,36.4207,36.5503,32.9013,33.9282,168192700
2012-05-22,32.5124,33.4895,30.8474,30.9073,101786600
2012-05-23,31.2762,32.4028,31.2662,31.9043,73600000
2012-05-24,32.8514,33.1106,31.6750,32.9312,50237200
2012-05-25,32.8016,32.8514,31.0169,31.8145,37149800
2012-05-29,31.3858,31.5952,28.5643,28.7537,78063400
2012-05-30,28.6092,29.4616,27.7767,28.1057,57267900
2012-05-31,28.4596,29.5812,26.7497,29.5114,111639200
2012-06-01,28.8056,29.0628,27.3081,27.6371,41855500
2012-06-04,27.1186,27.5673,26.3609,26.8195,35230300
2012-06-05,26.6201,27.6770,25.6730,25.7916,42473400
2012-06-06,25.9920,27.0887,25.4437,26.7298,61489200
2012-06-07,26.9192,27.2682,26.0718,26.2313,26159500
2012-06-08,26.4706,27.6770,26.3609,27.0189,38034000
2012-06-11,27.0987,27.9860,26.7547,26.9242,28219600
2012-06-12,27.3978,27.6869,26.8793,27.3180,15816800
2012-06-13,27.5773,28.0159,27.0189,27.1884,17102800
2012-06-14,27.5673,28.2353,27.2981,28.2054,16855000
2012-06-15,28.4197,30.0100,28.2652,29.9242,43563800
2012-06-18,29.8654,31.9840,29.3220,31.3160,42978900
2012-06-19,31.4407,32.0837,30.6082,31.8155,30849000
2012-06-20,31.8245,31.8333,31.0568,31.5055,15553600
2012-06-21,31.5753,32.4028,31.4157,31.7447,21875300
2012-06-22,32.3130,33.3499,31.9641,32.9511,74834000
2012-06-25,32.7617,32.9212,31.4556,31.9641,24352900
2012-06-26,32.5922,33.3400,32.4028,33.0010,24858700
2012-06-27,32.3629,32.8016,31.8046,32.1336,28568000
2012-06-28,31.8644,32.0937,30.8076,31.2662,17713300
2012-06-29,31.8245,31.8943,30.6680,31.0020,19526900
2012-07-02,31.1565,31.6351,30.4586,30.6789,14122000
2012-07-03,30.8175,31.3459,30.7079,31.1067,8763600
2012-07-05,31.2263,31.5304,30.9272,31.3759,10032100
2012-07-06,31.3459,31.8046,31.1665,31.6351,10945600
2012-07-09,32.0040,32.7816,31.8943,32.0738,17785200
2012-07-10,32.3330,32.3828,31.0667,31.3759,14269500
2012-07-11,31.3858,31.4656,30.4586,30.8773,13030300
2012-07-12,30.6082,31.3061,30.5085,30.7178,11300700
2012-07-13,30.9471,30.9770,30.4686,30.6281,8108300
2012-07-16,30.4088,30.4088,28.1256,28.1605,24672100
2012-07-17,28.3948,28.5045,27.0688,28.0060,30438600
2012-07-18,28.2253,29.2024,28.0658,29.0229,16841800
2012-07-19,29.3220,29.4117,28.5443,28.9132,13685100
2012-07-20,28.9132,29.3818,28.6341,28.6740,11869100
2012-07-23,28.0359,28.9132,27.9262,28.6640,12390700
2012-07-24,28.7338,29.3619,28.0159,28.3649,11539800
2012-07-25,28.3051,29.4018,27.9960,29.2522,17230200
2012-07-26,27.6670,28.1455,26.6500,26.7647,64597400
2012-07-27,23.1206,24.4666,22.2133,23.6341,123102300
2012-07-30,23.9232,23.9681,22.9611,23.0807,29285900
2012-07-31,23.3001,23.3001,21.5454,21.6451,56179400
2012-08-01,21.4357,21.5154,20.7777,20.8175,44604400
2012-08-02,20.7079,20.7777,19.7607,19.9800,56374500
2012-08-03,20.2991,22.0937,19.8405,21.0269,80647000
2012-08-06,21.3260,22.0837,21.2363,21.8544,27778900
2012-08-07,22.1336,22.3828,20.4387,20.6580,36782900
2012-08-08,20.6480,21.0867,20.1595,20.6580,29537400
2012-08-09,20.6879,21.1067,20.5483,20.9471,15610700
2012-08-10,21.3459,21.7547,21.0668,21.7418,25794700
2012-08-13,22.0837,22.3828,21.3360,21.5354,24973100
2012-08-14,21.3459,21.5354,20.1894,20.3190,39308800
2012-08-15,20.5783,21.3459,20.3390,21.1366,47861100
2012-08-16,20.3789,20.4187,19.6311,19.8106,157565300
2012-08-17,19.9452,20.0199,18.9432,18.9930,129293400
2012-08-20,18.9930,20.0698,18.6939,19.9511,101186600
2012-08-21,19.5214,19.9202,19.0329,19.1017,70640600
2012-08-22,19.3021,19.4716,18.9033,19.3808,49892200
2012-08-23,19.4417,19.6710,19.3021,19.3818,32813700
2012-08-24,19.4616,19.6211,19.1924,19.3509,29622200
2012-08-27,19.4317,19.4716,19.0429,19.0927,20704000
2012-08-28,19.0429,19.3220,18.8933,19.2821,25417000
2012-08-29,19.2622,19.3220,19.0129,19.0429,16124700
2012-08-30,19.2124,19.3918,19.0030,19.0314,30647500
2012-08-31,18.6241,18.6441,17.9761,18.0040,58764200
2012-09-04,18.0259,18.2153,17.4975,17.6760,46622400
2012-09-05,18.2153,18.6939,18.1256,18.5244,60781800
2012-09-06,18.6839,19.2041,18.6640,18.9033,46066500
2012-09-07,19.0429,19.3619,18.7238,18.9232,36371700
2012-09-10,19.0030,19.1426,18.4945,18.7537,24797800
2012-09-11,18.8634,19.5224,18.7936,19.3719,50508200
2012-09-12,20.6979,21.0967,20.2193,20.8684,121584000
2012-09-13,20.8923,21.4157,20.5483,20.6510,65041600
2012-09-14,21.0668,22.0139,20.8375,21.9342,72819800
2012-09-17,22.6022,22.6819,21.4357,21.4556,50667600
2012-09-18,21.5354,21.9142,21.3061,21.8046,36760500
2012-09-19,21.9242,23.3001,21.7049,23.2203,78782800
2012-09-20,22.9511,23.1705,22.4726,22.5224,57248900
2012-09-21,22.9013,23.1705,22.5324,22.7916,51218100
2012-09-24,21.7148,21.9142,20.3016,20.7278,79106500
2012-09-25,21.1366,21.1465,20.1595,20.2193,46291700
2012-09-26,20.0847,20.7178,19.7408,20.5583,38271900
2012-09-27,20.9272,20.9372,20.0997,20.2592,30215900
2012-09-28,20.5085,21.8843,20.4387,21.5952,65486000
2012-10-01,22.0139,22.5224,21.6650,21.9242,51262700
2012-10-02,22.0139,22.4227,21.7547,22.2034,29341400
2012-10-03,22.2283,22.4227,21.7348,21.7647,32000100
2012-10-04,22.2532,22.3330,21.3459,21.8818,46892100
2012-10-05,21.4257,21.5653,20.8175,20.8474,40529300
2012-10-08,20.3390,20.6879,20.0947,20.3390,32236700
2012-10-09,20.3290,20.4885,19.9103,20.1665,27161800
2012-10-10,19.8704,19.8803,19.3918,19.5812,39321800
2012-10-11,19.8205,19.9003,19.5513,19.6909,21817300
2012-10-12,19.6909,19.7408,19.4217,19.4597,18809400
2012-10-15,19.6211,19.8205,19.4317,19.4616,20189700
2012-10-16,19.6211,19.6311,19.2423,19.4217,21834700
2012-10-17,19.4417,20.4187,19.3138,19.8205,44074500
2012-10-18,19.6411,19.7308,18.8335,18.9182,52157400
2012-10-19,18.9432,19.0030,18.7438,18.9432,34835000
2012-10-22,19.1924,19.3719,18.9930,19.2632,32447300
2012-10-23,19.1924,19.7408,19.0429,19.4417,78381200
2012-10-24,24.0578,24.1775,22.7816,23.1604,228949900
2012-10-25,23.2203,23.2403,22.4028,22.4925,76142000
2012-10-26,22.3330,22.8116,21.8145,21.8769,73175800
2012-10-31,20.7577,21.4357,20.6680,21.0468,99378200
2012-11-01,21.0169,21.3759,20.9471,21.1465,37713900
2012-11-02,21.1964,21.6251,21.0070,21.1166,38344400
2012-11-05,21.0369,21.4157,20.8574,21.1864,31806700
2012-11-06,21.1765,21.3061,20.9272,21.1079,29062700
2012-11-07,20.7876,20.8873,20.3091,20.4088,33396800
2012-11-08,20.4586,20.6680,19.9202,19.9302,34254600
2012-11-09,19.8953,19.9402,19.0728,19.1525,42295500
2012-11-12,19.0927,20.1097,18.8135,20.0100,67349200
2012-11-13,19.5463,20.0498,19.5015,19.8006,71775100
2012-11-14,20.0399,22.4327,19.8704,22.2931,229751000
2012-11-15,22.2732,22.4327,21.5852,22.1037,78857700
2012-11-16,22.1834,23.8584,22.1136,23.4902,107182200
2012-11-19,23.8833,24.0478,22.7517,22.8514,85021300
2012-11-20,22.6620,23.8285,22.6321,23.0309,46655300
2012-11-21,23.1505,24.4566,22.9810,24.2472,89862400
2012-11-23,24.5065,24.6062,23.8086,23.9262,29520900
2012-11-26,24.8604,26.0119,24.7358,25.8624,123865000
