date,open,high,low,close,volume
2014-03-27,28.33,28.33,27.5778,27.8542,262000
2014-03-28,27.9908,28.2517,27.8646,27.9305,822000
2014-03-31,28.2746,28.2801,27.7779,27.7798,216000
2014-04-01,27.8666,28.3524,27.8666,28.2881,158000
2014-04-02,28.1856,30.1669,28.0402,28.2801,2934000
2014-04-03,28.4223,29.2916,28.137,28.4168,101704000
2014-04-04,28.6617,28.8173,27.0831,27.0901,127038000
2014-04-07,26.9703,27.3564,26.2925,26.8412,87792000
2014-04-08,27.0631,27.6816,27.0137,27.6766,62852000
2014-04-09,27.912,28.1988,27.5793,28.1375,66434000
2014-04-10,28.1804,28.1804,26.9285,26.9808,80516000
2014-04-11,26.5619,26.9334,26.2616,26.4646,78282000
2014-04-14,26.8462,27.1379,26.4128,26.5604,51360000
2014-04-15,26.7748,26.8561,25.8591,26.7559,76890000
2014-04-16,27.0831,27.7813,26.9334,27.7584,97598000
2014-04-17,27.3729,27.4073,26.492,26.7389,135818000
2014-04-21,26.7389,26.7688,26.2152,26.3658,51194000
2014-04-22,26.3668,26.7953,26.3105,26.6746,47178000
2014-04-23,26.6237,26.6277,26.2476,26.2821,40934000
2014-04-24,26.4382,26.517,26.0416,26.1933,37560000
2014-04-25,26.0611,26.1703,25.7075,25.7454,41892000
2014-04-28,25.7953,25.8661,25.078,25.7938,66528000
2014-04-29,25.7813,26.4077,25.7524,26.32,53834000
2014-04-30,26.315,26.3349,26.0616,26.2681,34928000
2014-05-01,26.2905,26.5808,26.1294,26.502,38006000
2014-05-02,26.6222,26.6342,26.2157,26.3314,33678000
2014-05-05,26.1763,26.3798,26.0017,26.3254,20426000
2014-05-06,26.1968,26.2756,25.6895,25.6935,33688000
2014-05-07,25.7259,25.7703,25.103,25.4351,64310000
2014-05-08,25.3603,25.7977,25.2601,25.487,40316000
2014-05-09,25.4745,25.9309,25.1479,25.8726,48656000
2014-05-12,26.111,26.4441,25.8865,26.4307,38146000
2014-05-13,26.4791,26.7374,26.4102,26.5888,32978000
2014-05-14,26.5843,26.5843,26.1998,26.2676,23770000
2014-05-15,26.2202,26.2287,25.8072,25.9349,33994000
2014-05-16,26.0052,26.0257,25.7085,25.9673,29624000
2014-05-19,25.9209,26.4237,25.8154,26.3778,25486000
2014-05-20,26.4217,26.7454,26.2501,26.4232,35598000
2014-05-21,26.5793,26.8927,26.5299,26.8806,23860000
2014-05-22,26.9898,27.3125,26.9723,27.1858,32228000
2014-05-23,27.2955,27.6138,27.118,27.5669,38538000
2014-05-27,27.7315,28.2302,27.6492,28.2277,41968000
2014-05-28,28.1589,28.322,27.9809,28.0148,32950000
2014-05-29,28.0981,28.1305,27.8666,27.935,27008000
2014-05-30,27.9709,27.9983,27.727,27.9255,35326000
2014-06-02,27.9659,27.9759,27.2192,27.6282,28622000
2014-06-03,27.4816,27.5489,27.0606,27.1798,37230000
2014-06-04,27.0083,27.3629,26.8711,27.1659,36230000
2014-06-05,27.2527,27.6791,27.1554,27.6267,33690000
2014-06-06,27.8342,27.8342,27.3788,27.7479,34640000
2014-06-09,27.7888,28.0756,27.7335,28.0367,29270000
2014-06-10,27.9564,28.1105,27.8262,27.9584,26960000
2014-06-11,27.8312,27.925,27.6826,27.8731,21942000
2014-06-12,27.7963,27.8307,27.3554,27.4995,29090000
2014-06-13,27.5449,27.5469,27.2108,27.52,24344000
2014-06-16,27.3953,27.4133,27.0093,27.1469,33958000
2014-06-17,27.1429,27.1988,26.9,27.0836,28812000
2014-06-18,27.1758,27.6098,27.1329,27.6003,34740000
2014-06-19,27.6437,27.6816,27.3579,27.6766,49002000
2014-06-20,27.7739,27.8103,27.4517,27.7494,89920000
2014-06-23,27.6891,28.1804,27.6442,28.1779,30652000
2014-06-24,28.1898,28.5617,27.9814,28.1614,44022000
2014-06-25,28.1933,28.9265,28.1913,28.8612,39280000
2014-06-26,28.9784,29.0507,28.522,28.729,34744000
2014-06-27,28.7879,28.922,28.6193,28.7909,44616000
2014-06-30,28.8617,28.9071,28.6667,28.6931,26204000
2014-07-01,28.8447,29.148,28.7614,29.0617,28880000
2014-07-02,29.0956,29.1998,28.948,29.045,21070000
2014-07-03,29.0956,29.1784,28.9744,29.1644,14244000
2014-07-07,29.116,29.2492,28.9081,29.0407,21234000
2014-07-08,28.8118,28.905,28.237,28.4841,38086000
2014-07-09,28.5085,28.7649,28.3986,28.733,22274000
2014-07-10,28.2257,28.7584,28.1809,28.4846,27060000
2014-07-11,28.525,28.9709,28.5006,28.8876,32346000
2014-07-14,29.0582,29.1884,28.8303,29.1714,36980000
2014-07-15,29.2148,29.218,28.7569,29.1669,32372000
2014-07-16,29.3275,29.3475,29.0382,29.0612,27866000
2014-07-17,28.9051,28.9779,28.3604,28.6158,60166000
2014-07-18,29.5769,29.7664,29.0283,29.6807,80064000
