date,open,high,low,close,volume
1986-03-13,0.0549,0.063,0.0549,0.0603,1031788800
1986-03-14,0.0603,0.0635,0.0603,0.0624,308160000
1986-03-17,0.0624,0.064,0.0624,0.0635,133171200
1986-03-18,0.0635,0.064,0.0614,0.0619,67766400
1986-03-19,0.0619,0.0624,0.0603,0.0608,47894400
1986-03-20,0.0608,0.0608,0.0587,0.0592,58435200
1986-03-21,0.0592,0.0603,0.0565,0.0576,59990400
1986-03-24,0.0576,0.0576,0.0554,0.056,65289600
1986-03-25,0.056,0.0571,0.0554,0.0571,32083200
1986-03-26,0.0571,0.0592,0.0565,0.0587,22752000
1986-03-27,0.0587,0.0597,0.0587,0.0597,16848000
1986-03-31,0.0597,0.0597,0.0581,0.0592,12873600
1986-04-01,0.0592,0.0592,0.0587,0.0587,11088000
1986-04-02,0.0587,0.0603,0.0587,0.0592,27014400
1986-04-03,0.0597,0.0614,0.0597,0.0597,23040000
1986-04-04,0.0597,0.0603,0.0597,0.0597,26582400
1986-04-07,0.0597,0.0603,0.0576,0.0587,16560000
1986-04-08,0.0587,0.0603,0.0587,0.0592,10252800
1986-04-09,0.0592,0.0608,0.0592,0.0603,12153600
1986-04-10,0.0603,0.0614,0.0592,0.0608,13881600
1986-04-11,0.0614,0.063,0.0614,0.0619,17222400
1986-04-14,0.0619,0.063,0.0619,0.0624,12153600
1986-04-15,0.0624,0.0624,0.0603,0.0624,9302400
1986-04-16,0.0624,0.0651,0.0619,0.0646,31910400
1986-04-17,0.0646,0.0651,0.0646,0.0651,22003200
1986-04-18,0.0651,0.0651,0.0624,0.063,21628800
1986-04-21,0.063,0.0635,0.0614,0.063,22924800
1986-04-22,0.063,0.063,0.0619,0.0619,15552000
1986-04-23,0.0619,0.0624,0.0614,0.0622,15609600
1986-04-24,0.0622,0.0694,0.0619,0.0684,62352000
1986-04-25,0.0689,0.0756,0.0689,0.0727,85795200
1986-04-28,0.0727,0.0737,0.0721,0.0732,28886400
1986-04-29,0.0732,0.0732,0.0705,0.071,30326400
1986-04-30,0.071,0.0716,0.0678,0.0694,30902400
1986-05-01,0.0694,0.0694,0.0673,0.0684,54345600
1986-05-02,0.0684,0.0694,0.0678,0.0684,20246400
1986-05-05,0.0684,0.0684,0.0678,0.0678,3254400
1986-05-06,0.0684,0.0694,0.0684,0.0684,9734400
1986-05-07,0.0684,0.0689,0.0673,0.0684,5155200
1986-05-08,0.0684,0.0689,0.0678,0.0689,3542400
1986-05-09,0.0689,0.0689,0.0684,0.0684,6076800
1986-05-12,0.0684,0.0705,0.0684,0.0689,10483200
1986-05-13,0.0689,0.07,0.0689,0.0694,3830400
1986-05-14,0.0694,0.0694,0.0689,0.0689,9302400
1986-05-15,0.0689,0.07,0.0689,0.0689,3801600
1986-05-16,0.0689,0.071,0.0689,0.0694,11952000
1986-05-19,0.0694,0.0694,0.0678,0.0684,11001600
1986-05-20,0.0684,0.0684,0.0673,0.0678,61977600
1986-05-21,0.0678,0.0684,0.0667,0.0667,8092800
1986-05-22,0.0667,0.0673,0.0667,0.0667,4406400
1986-05-23,0.0667,0.0678,0.0667,0.0667,4089600
1986-05-27,0.0667,0.0689,0.0667,0.0689,13881600
1986-05-28,0.0689,0.071,0.0689,0.071,15523200
1986-05-29,0.071,0.0737,0.0705,0.0727,45676800
1986-05-30,0.0732,0.0764,0.0732,0.0754,27072000
1986-06-02,0.0754,0.0754,0.0732,0.0732,19728000
1986-06-03,0.0732,0.0732,0.0721,0.0732,5011200
1986-06-04,0.0732,0.0737,0.0721,0.0727,4723200
1986-06-05,0.0727,0.0737,0.0721,0.0737,13708800
1986-06-06,0.0737,0.0737,0.0727,0.0737,3427200
1986-06-09,0.0737,0.0737,0.0705,0.0705,12672000
1986-06-10,0.0705,0.0705,0.0694,0.0705,3427200
